Title,Authors_with_affiliations,Conf,Year,Cited_by
A clustering algorithm for asymmetrically related data with applications to text mining,"Krishna, K., IBM India Research Lab, IIT, Block 1, Hauz Khas, New Delhi 110016, India; Krishnapuram, R., IBM India Research Lab, IIT, Block 1, Hauz Khas, New Delhi 110016, India",CIKM,2001,12
Discovering frequently changing structures from historical structural deltas of unordered XML,"Zhao, Q., CAIS, Nanyang Technological University, Singapore, Singapore; Bhowmick, S.S., CAIS, Nanyang Technological University, Singapore, Singapore; Mghania, M., IBM India Research Lab, India; Kambayashi, Y., Department of Social Informatics, Kyoto University, Japan",CIKM,2004,11
Probabilistic model for discovering topic based communities in social networks,"Sachan, M., IBM Research India, New Delhi, India; Contractor, D., IBM Research India, New Delhi, India; Faruquie, T., IBM Research India, New Delhi, India; Subramaniam, V., IBM Research India, New Delhi, India",CIKM,2011,9
Predicting product adoption in large-scale social networks,"Bhatt, R., Yahoo Labs, Embassy Golf Links Park, Bagalore 560071, India; Chaoji, V., Yahoo Labs, Embassy Golf Links Park, Bagalore 560071, India; Parekh, R., Yahoo Labs, 4401 Great America Parkway, Santa Clara, CA 95054, United States",CIKM,2010,8
A study of rumor control strategies on social networks,"Tripathy, R.M., Department of CS and E, IIT Delhi, New Delhi, India; Bagchi, A., Department of CS and E, IIT Delhi, New Delhi, India; Mehta, S., IBM India Research Lab., New Delhi, India",CIKM,2010,8
Efficient interactive query expansion with complete Search,"Bast, H., MPI fÃ¼r Informatik SaarbrÃ¼cken, Germany; Majumdar, D., IBM India Research Lab, Bangalore, India; Weber, I., MPI fÃ¼r Informatik SaarbrÃ¼cken, Germany",CIKM,2007,7
Towards automatic association of relevant unstructured content with structured query results,"Roy, P., IBM India Research Lab., New Delhi, India; Mohania, M., IBM India Research Lab., New Delhi, India; Bamba, B., IBM India Research Lab., New Delhi, India, Georgia Institute of Technology, Atlanta, GA, United States; Raman, S., IBM India Research Lab., New Delhi, India, University of Massachusetts, Amherst, MA, United States",CIKM,2005,7
A pairwise ranking based approach to learning with positive and unlabeled examples,"Sellamanickam, S., Yahoo Labs., Bangalore, India; Garg, P., Chinese University of Hong Kong, New Territories, Hong Kong; Selvaraj, S.K., Yahoo Labs., Santa Clara, CA, United States",CIKM,2011,6
Pattern based keyword extraction for Contextual Advertising,"Dave, K., Language Technologies Research Centre, International Institute of Information Technology, Hyderabad, India; Varma, V., Language Technologies Research Centre, International Institute of Information Technology, Hyderabad, India",CIKM,2010,6
Automatic wrapper induction from hidden-web sources with domain knowledge,"Senellart, P., INRIA Saclay, TELECOM ParisTech, Paris, France; Mittal, A., Indian Institute of Technology, Bombay, India; Muschick, D., Technische UniversitÃ¤t Graz, Graz, Austria; Gilleron, R., UniversitÃ© Lille, INRIA Lille, Villeneuve d'Ascq, France; Tommasi, M., UniversitÃ© Lille, INRIA Lille, Villeneuve d'Ascq, France",CIKM,2008,6
Spatio-temporal and events based analysis of topic popularity in twitter,"Ardon, S., IIT, Delhi, India; Bagchi, A., IIT, Delhi, India; Mahanti, A., NICTA, Australia; Ruhela, A., IIT, Delhi, India, C-DOT, Delhi, India; Seth, A., IIT, Delhi, India; Tripathy, R.M., IIT, Delhi, India; Triukose, S., NICTA, Australia",CIKM,2013,5
Building re-usable dictionary repositories for real-world text mining,"Godbole, S., IBM Research, India; Bhattacharya, I., Indian Institute of Science, India; Gupta, A., IBM Research, India; Verma, A., IBM Research, India",CIKM,2010,5
Characteristics of document similarity measures for compliance analysis,"Sayeed, A., Dept. of Computer Science, University of Maryland, College Park, MD 20742, United States; Sarkar, S., IBM Research, P.O. Box 704, Yorktown Heights, NY 10598, United States; Deng, Y., IBM Research, P.O. Box 704, Yorktown Heights, NY 10598, United States; Hosn, R., IBM Research, P.O. Box 704, Yorktown Heights, NY 10598, United States; Mahindru, R., IBM Research, P.O. Box 704, Yorktown Heights, NY 10598, United States; Rajamani, N., Collaboratory for Service Science, IBM Research - India, Hyderabad AP 500032, India",CIKM,2009,5
URL normalization for de-duplication of web pages,"Agarwal, A., Yahoo Labs., Bangalore, India, Infibeam, Bangalore, India; Koppula, H.S., Yahoo Labs., Bangalore, India; Leela, K.P., Yahoo Labs., Bangalore, India; Chitrapura, K.P., Yahoo Labs., Bangalore, India; Garg, S., Yahoo Labs., Bangalore, India; Pavan Kumar, G.M., Yahoo Labs., Bangalore, India",CIKM,2009,5
On-line index maintenance using horizontal partitioning,"Gurajada, S., Indian Institute of Technology Madras, Chennai - 600036, India; Kumar P, S., Indian Institute of Technology Madras, Chennai - 600036, India",CIKM,2009,5
Multi-query optimization of sliding window aggregates by schedule synchronization,"Golab, L., University of Waterloo, Canada, AT and T Labs., Florham Park, NJ, United States; Bijay, K.G., Indian Inst. of Tech., Bombay, India; Zsu, M.T., University of Waterloo, Canada",CIKM,2006,5
Node ranking in labeled directed graphs,"Chitrapura, K.P., IBM India Research Lab, Indian Institute of Technology, Block-I, Hauz Khas, New Delhi, India; Kashyap, S.R., Department of Computer Science, University of Maryland, College Park, MD, United States",CIKM,2004,5
"Information extraction from biomedical literature: Methodology, evaluation and an application","Subramaniam, L.V., IBM India Research Lab., New Delhi, India; Mukherjea, S., IBM India Research Lab., New Delhi, India; Kankar, P., IBM India Research Lab., New Delhi, India; Srivastava, B., IBM India Research Lab., New Delhi, India; Batra, V.S., IBM India Research Lab., New Delhi, India; Kamesam, P.V., IBM India Research Lab., New Delhi, India; Kothari, R., IBM India Research Lab., New Delhi, India",CIKM,2003,5
OpinioNetIt: Understanding the opinions-people network for politically controversial topics,"Awadallah, R., Max-Planck Institute for Informatics, Saarbruecken, Germany; Ramanath, M., Indian Institute of Technology, Delhi, New Delhi, India; Weikum, G., Max-Planck Institute for Informatics, Saarbruecken, Germany",CIKM,2011,4
Attention prediction on social media brand pages,"Lakkaraju, H., IBM Research - India, Bangalore, India; Ajmera, J., IBM Research - India, New Delhi, India",CIKM,2011,4
Mining named entity transliteration equivalents from comparable corpora,"Udupa, R., Microsoft Research India, Bangalore, 560080, India; Saravanan, K., Microsoft Research India, Bangalore, 560080, India; Kumaran, A., Microsoft Research India, Bangalore, 560080, India",CIKM,2008,4
Privacy preserving sequential pattern mining in distributed databases,"Kapoor, V., Netaji Subhas Institute of Technology, Azad Hind Fauj Marg, Dwarka, New Delhi-110045, India; Poncelet, P., EMA-LGI2P/Site EERIE, Parc Scientifique Georges Besse, 30035 NÃ®mes Cedex, France; Trousset, F., EMA-LGI2P/Site EERIE, Parc Scientifique Georges Besse, 30035 NÃ®mes Cedex, France; Teisseire, M., LIRMM UMR CNRS 5506, 161 Rue Ada, 34392 Montpellier Cedex 5, France",CIKM,2006,4
TwiSent: A multistage system for analyzing sentiment in Twitter,"Mukherjee, S., Dept. of Computer Science and Engineering, IIT Bombay, India; Malu, A., Dept. of Computer Science and Engineering, IIT Bombay, India; Balamurali, A.R., Dept. of Computer Science and Engineering, IIT Bombay, India, IITB-Monash Research Academy, IIT Bombay, India; Bhattacharyya, P., Dept. of Computer Science and Engineering, IIT Bombay, India",CIKM,2012,3
CQC: Classifying questions in CQA websites,"Singh, A., IBM Research, Bangalore, India; Visweswariah, K., IBM Research, Bangalore, India",CIKM,2011,3
Supervised matching of comments with news article segments,"Sil, D.K., Dept. CSA, IISc, Bangalore, India; Sengamedu, S.H., Yahoo Labs., Bangalore, India; Bhattacharyya, C., Dept. CSA, IISc, Bangalore, India",CIKM,2011,3
Faceted search and browsing of audio content on spoken web,"Diao, M., Georgia Institute of Technology, Atlanta, GA 30332, United States; Mukherjea, S., IBM Research 4, ISID Campus, Vasant Kunj New Delhi, India; Rajput, N., IBM Research 4, ISID Campus, Vasant Kunj New Delhi, India; Srivastava, K., IBM Research 4, ISID Campus, Vasant Kunj New Delhi, India",CIKM,2010,3
Real-time memory efficient data redundancy removal algorithm,"Garg, V.K., IBM India Research Laboratory (IRL), Bangalore, India; Narang, A., IBM India Research Laboratory (IRL), New Delhi, India; Bhattacherjee, S., IBM India Research Laboratory (IRL), New Delhi, India",CIKM,2010,3
Threshold behavior of incentives in social networks,"Kota, N., Yahoo Labs, Bangalore, India; Narahari, Y., Dept. of Computer Science and Automation, Indian Institute of Science, Bangalore, India",CIKM,2010,3
Active learning in partially supervised classification,"Garg, P., Yahoo Labs., Bangalore, India; Sundararajan, S., Yahoo Labs., Bangalore, India",CIKM,2009,3
Identification of class specific discourse patterns,"Chalamalla, A., IBM India Research Lab, Institutional Area, New Delhi, India; Negi, S., IBM India Research Lab, Institutional Area, New Delhi, India; Subramaniam, L.V., IBM India Research Lab, Institutional Area, New Delhi, India; Ramakrishnan, G., IBM India Research Lab, Institutional Area, New Delhi, India",CIKM,2008,3
A system for knowledge management in bioinformatics,"Adak, S., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Batra, V.S., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Bhardwaj, D.N., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Kamesam, P.V., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Kankar, P., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Kurnekar, M.P., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India; Srivastava, B., IBM India Research Laboratory, Block 1, IIT Campus, Hauz Khas, New Delhi 110016, India",CIKM,2002,3
On sampling the wisdom of crowds: Random vs. Expert sampling of the twitter stream,"Ghosh, S., IIT, Kharagpur, India, MPI-SWS, Germany; Sharma, N., University of Washington, United States; Zafar, M.B., MPI-SWS, Germany; Ganguly, N., IIT, Kharagpur, India; Bhattacharya, P., IIT, Kharagpur, India, MPI-SWS, Germany; Gummadi, K.P., MPI-SWS, Germany",CIKM,2013,2
Label constrained shortest path estimation,"Likhyani, A., Indraprastha Institute of Information Technology, New Delhi, India; Bedathur, S., Indraprastha Institute of Information Technology, New Delhi, India",CIKM,2013,2
I want what I need! Analyzing subjectivity of online forum threads,"Biyani, P., College of Information Sciences and Technology, Pennsylvania State University, State College, PA, United States; Caragea, C., College of Information Sciences and Technology, Pennsylvania State University, State College, PA, United States; Singh, A., IBM Research, Bangalore, India; Mitra, P., College of Information Sciences and Technology, Pennsylvania State University, State College, PA, United States",CIKM,2012,2
Data-driven compound splitting method for English compounds in domain names,"Khaitan, S., Infospace Inc., India Subsidiary, Bangalore, India; Das, A., Infospace Inc., India Subsidiary, Bangalore, India; Gain, S., Infospace Inc., India Subsidiary, Bangalore, India; Sampath, A., Infospace Inc., India Subsidiary, Bangalore, India",CIKM,2009,2
Sigma encoded inverted files,"Trotman, A., Department of Computer Science, University of Otago, Dunedin, New Zealand, Department of Computer Engineering, National Institute of Technology, Karnataka Surathkal, India; Subramanya, V., Department of Computer Science, University of Otago, Dunedin, New Zealand, Department of Computer Engineering, National Institute of Technology, Karnataka Surathkal, India",CIKM,2007,2
Efficient indexing and querying of XML data using modified PrÃ¼fer sequences,"Prasad, K.H., Dept of Computer Science and Engineering, Indian Institute of Technology Madras, Chennai - 600 036, India; Kumar, P.S., Dept of Computer Science and Engineering, Indian Institute of Technology Madras, Chennai - 600 036, India",CIKM,2005,2
Extracting semantic knowledge from Wikipedia category names,"Radhakrishnan, P., International Institute of Information Technology, Hyderabad, India; Varma, V., International Institute of Information Technology, Hyderabad, India",CIKM,2013,1
Two-part segmentation of text documents,"Deepak, P., IBM Research - India, Bangalore, India; Visweswariah, K., IBM Research - India, Bangalore, India; Wiratunga, N., School of Computing, Robert Gordon University, Aberdeen, United Kingdom; Sani, S., School of Computing, Robert Gordon University, Aberdeen, United Kingdom",CIKM,2012,1
